session_id,rep_index,global_rep_id,err_knee_flexion_at_bottom,err_knee_flexion_range,err_trunk_lean_at_bottom,err_trunk_lean_mean,err_trunk_lean_max,err_trunk_lean_range,err_trunk_lean_at_end,err_descent_ascent_ratio,err_descent_time_s,err_ascent_time_s,err_knee_vel_max_descent,err_knee_vel_max_ascent,err_knee_jerk_max,err_knee_jerk_rms,err_normalized_jerk_cost
33124_2,1,52,0.03794138696779996,0.0776645637758657,0.022392761521867525,5.65177565853854e-06,0.019371806721946307,0.006293778817081514,0.02575251695421993,6.3871229259477e-05,5.5039773571976935e-05,0.0003576827290808604,0.0018862767217987463,0.0007922014252949112,0.031788055952650544,0.02183254324988251,2.809556894429025e-05
33127_2,0,53,0.014650728539367695,0.01478319109187253,0.00029370551254409935,0.03913597114795974,0.03525825697602812,0.0030023134739992872,0.0005222627207937464,0.0005445651480632344,0.002616442986962418,0.004220225263165905,0.0033683634724708776,0.042663093551829935,0.007443222571786063,1.9805654339307487e-05,9.847581238723285e-05
33127_2,1,54,0.011824231090093607,0.012070964829394916,0.0004887400444894144,0.05775951452411765,0.01034388093545342,4.463114373057291e-05,0.03352107095644971,0.0002553388500372859,0.001898438595720324,0.0032061578729246113,0.01605477845530837,0.0282410747199058,0.002114083742540617,0.0008882595407512081,1.625670713524949e-06
33133_3,0,55,0.005249209288925942,0.0162954347687155,0.0373251524054406,0.015823088731535935,0.046837778709036756,0.004027019428535363,0.059430625477357814,0.0012978885676799012,0.0011581016841407618,0.002227586403670978,0.013463554915501502,0.08242437845115978,1.8952039891241715e-05,0.02499344037364297,0.0005387431928339372
33133_3,1,56,2.9536864766355634e-05,0.0011338263391525653,0.01936806352016138,0.13834665808375204,0.04158119535311584,9.034452583633089e-05,0.21852111501964808,0.00028213796328182005,0.0001264126029819899,0.0028884209998314057,0.022146999729491464,0.05948267130691302,0.0084738173092416,0.02108812221589454,7.024043650780887e-05
33146_1,0,57,0.007219443069657597,0.0038033631378057483,0.010167713901855932,0.020080247423269165,0.0018606187673930914,0.00852618438647438,0.10778049881926383,0.0003474519339379899,0.003612364349095022,0.005537319779892161,0.01513326688423603,0.07572399960471712,0.042138223211996936,0.02085089144706888,7.544760635534239e-05
33146_1,1,58,0.0001485106668320651,2.3230940582734414e-06,0.0018866738758534201,0.012735315573517402,0.0047013036235902025,0.002681274478852243,0.02807107620690745,0.0019482257670868299,0.0005563322774284362,0.0018478598871645598,0.06748006599014783,0.01914922191367151,0.014402941300756741,0.000306736902834223,0.00031068897063625414
33153_4,0,59,0.00022027856370681527,6.732142316971834e-05,0.00010131818446044512,0.002690828225533578,0.001685128206186662,8.49976163923985e-05,0.0012769723730713584,0.008824080813286098,0.0054011173945849025,0.004490505858338972,0.04029287579546514,0.004072026191942877,0.00015868310138828867,0.0055714243786193045,9.846785417231989e-05
33153_4,1,60,0.000920864236547718,0.00040058767629101374,0.006330937099011359,0.008606149146942334,0.0010650292020823679,0.0007640750694510988,0.03397978617969399,5.019799190664054e-06,1.2006788496606281e-05,0.00017069986280189087,2.822122307564433e-05,0.03308792820718189,0.0009913187455727406,0.009507328392983818,0.00010347011016783422
33166_1,0,61,0.011165737022933381,0.01793020851233825,0.01411453483640899,0.03276840694271625,0.01946817356379734,0.010410862133154175,0.029401675478957962,0.00703523108814704,0.00963417537952701,0.009330331035486885,0.004410391854434607,0.009934478064424839,0.005016439566940161,0.021901894508174705,0.00020949303824142605
33166_1,1,62,0.009506587431207488,0.02719103883722249,0.0027518390652243843,0.03185814899968681,0.004455407432023963,0.0002497331348166152,0.08261790304911279,0.009312424045509667,0.00421230806205861,0.004773129894911323,0.007964315247346166,0.0013594174865042673,0.07639907697456198,0.08869988209161435,2.9884952533603148e-05
33170_1,0,63,0.0003499104304905438,2.2569997690022865e-05,0.03344213851708806,0.0057563067688124695,1.1300151209582961e-05,0.0017831407943716543,0.020688248171899386,0.016128696428286706,0.011173677665144868,0.02384469704603418,0.004054981232204372,0.12611851411142794,0.009334475995954722,0.00038497216425108417,0.00039615385895926244
33170_1,1,64,0.011442571254081815,0.020406203140990696,0.037918179262384284,7.765478345128826e-06,0.00214953013983307,0.0003680328049116386,0.08057725467063995,0.0027300461637396146,0.0007961169700606044,0.003237746234699444,0.0007827161998112117,0.046255544807811064,0.057598953788064594,0.1180202940829647,0.00038108491159938995
33171_1,0,65,0.003895381759694341,0.009131761293386742,0.001570252820368513,0.039974961599145306,0.0029401589912241162,2.9245056161208075e-05,0.08459747613554842,0.0005986499623491626,0.000497004722826397,0.0006182771519040674,0.12408971264443482,0.0034145775526318173,0.0006908953749866009,0.008890105592900375,0.00020673925114747
33171_1,1,66,0.0023759983387166292,0.011956322319368105,0.036423204481031694,0.005686430748307018,0.10366375019807275,0.019623798719282513,0.0018448386194503245,0.005718156858891977,0.013625892815598185,0.012657663800458963,0.0014404151516859219,0.09916397836785246,0.01835804459480899,0.00031568272283966905,0.0004926114375974725
33176_3,0,67,0.010769555120773537,0.014683258973330279,0.005494700042358438,0.0018322456877744176,0.0014468232332898144,0.002792254046825908,0.0008521191079716088,0.022464138356329762,0.01618428408454813,0.014424480322230957,0.008268009776496492,0.0692446920429798,0.00479742618007241,0.00013447534725225595,9.755797451921154e-05
33176_3,1,68,0.007785589176523833,0.014350424397777933,0.0026499638755095012,0.008919426983488965,0.00017237320149150547,0.0001329888143875734,6.110381331406804e-05,0.0035539370429298637,0.005312930524716169,0.0007989548372056482,0.02163428287852125,2.847226096667211e-08,0.007682118867683892,0.0008355898559328684,6.080443960724757e-05
